; 1.00
30516; 1.00
30530; 1.00
30543; 1.00
30557; 1.00
30570; 1.00
30583; 1.00
30598; 1.00
0; 4.00
0; 4.00
1; 4.00
1; 4.00
1; 4.00
2; 4.00
2; 3.00
3; 4.00
7; 4.00
16; 4.00
26; 4.00
36; 4.00
48; 4.00
58; 4.00
68; 4.00
78; 4.00
89; 4.00
99; 4.00
110; 3.00
121; 4.00
133; 4.00
144; 5.00
155; 4.00
166; 4.00
179; 4.00
190; 4.00
201; 4.00
212; 4.00
224; 4.00
235; 4.00
247; 4.00
259; 4.00
270; 4.00
281; 4.00
292; 4.00
304; 4.00
316; 4.00
327; 4.00
338; 4.00
350; 4.00
361; 4.00
372; 4.00
385; 4.00
396; 4.00
407; 4.00
418; 4.00
430; 4.00
442; 4.00
453; 4.00
464; 4.00
476; 4.00
487; 4.00
498; 4.00
510; 4.00
522; 4.00
533; 4.00
544; 4.00
556; 3.00
567; 4.00
579; 4.00
590; 4.00
602; 4.00
613; 3.00
624; 4.00
635; 4.00
648; 3.00
659; 4.00
670; 4.00
681; 4.00
693; 4.00
704; 4.00
716; 4.00
728; 4.00
739; 4.00
750; 4.00
761; 4.00
774; 4.00
785; 4.00
796; 4.00
807; 10.00
820; 51.00
832; 52.00
845; 51.00
858; 51.00
870; 51.00
882; 51.00
894; 52.00
908; 51.00
920; 52.00
932; 51.00
945; 52.00
957; 51.00
969; 52.00
983; 51.00
995; 51.00
1007; 51.00
1020; 51.00
1034; 51.00
1048; 51.00
1061; 51.00
1075; 52.00
1088; 52.00
1101; 52.00
1116; 52.00
1129; 52.00
1142; 51.00
1156; 52.00
1169; 51.00
1183; 51.00
1197; 52.00
1210; 51.00
1223; 51.00
1236; 51.00
1251; 51.00
1264; 51.00
1277; 51.00
1291; 51.00
1304; 52.00
1318; 51.00
1332; 51.00
1345; 51.00
1358; 52.00
1373; 51.00
1386; 51.00
1399; 51.00
1413; 51.00
1426; 51.00
1440; 51.00
1454; 51.00
1467; 51.00
1480; 51.00
1494; 51.00
1508; 51.00
1521; 51.00
1534; 51.00
1548; 51.00
1561; 51.00
1575; 51.00
1589; 51.00
1602; 51.00
1615; 51.00
1629; 51.00
1643; 51.00
1656; 51.00
1670; 51.00
1683; 51.00
1696; 51.00
1711; 51.00
1724; 51.00
1737; 51.00
1751; 51.00
1764; 51.00
1778; 51.00
1792; 51.00
1805; 51.00
1818; 51.00
1831; 51.00
1846; 52.00
1859; 51.00
1872; 51.00
1886; 51.00
1899; 51.00
1913; 51.00
1927; 51.00
1940; 51.00
1953; 51.00
1967; 51.00
1981; 52.00
1994; 51.00
2008; 51.00
2021; 51.00
2034; 51.00
2049; 52.00
2062; 51.00
2075; 51.00
2088; 52.00
2102; 51.00
2116; 51.00
2129; 51.00
