file,model,cm,ms,light,message,final_message,LD
opt_s30_t200_d.log,micro,30,200,False,11110000111100001111000011110000111100001111,10101010101,0
opt_s50_t50.log,micro,50,50,True,111111111111111111111111111111,1111111,5
opt_s50_t100_d.log,micro,50,100,False,111100001111000011110000111100001111000011111111111111,1010101010111,2
opt_s10_t200.log,micro,10,200,True,11110000111100001111000011110000111100001111,10101010101,0
opt_s50_t50_d.log,micro,50,50,False,11110000111100001111000011110000111100001111111111111111111111111111111111,101010101011111111,7
opt_s30_t150.log,micro,30,150,True,11110000111100001111000011110000111100001111111,10101010101,0
opt_s10_t10.log,micro,10,10,True,111100001111000011110000111100001111000011111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,1010101010111111111111111111111111111111111111111111111111,47
opt_s30_t100_d.log,micro,30,100,False,111100001111000011110000111100001111000011111111111111,1010101010111,2
opt_s10_t100.log,micro,10,100,True,111100001111000011110000111100001111000011111111111111,1010101010111,2
opt_s50_t150.log,micro,50,150,True,111100001111000011110000111100001111000011111111,101010101011,1
opt_s10_t150_d.log,micro,10,150,False,11110000111100001111000011110000111100001111111,10101010101,0
opt_s30_t50.log,micro,30,50,True,11110000111100001111000011110000111100001111111111111111111111111111111111,101010101011111111,7
opt_s50_t200.log,micro,50,200,True,11110000111100001111000011110000111100001111,10101010101,0
opt_s10_t100_d.log,micro,10,100,False,111100001111000011110000111100001111000011111111111111,1010101010111,2
opt_s30_t150_d.log,micro,30,150,False,11110000111100001111000011110000111100001111111,10101010101,0
opt_s10_t50_d.log,micro,10,50,False,11110000111100001111000011110000111100001111111111111111111111111111111111,101010101011111111,7
opt_s10_t150.log,micro,10,150,True,11110000111100001111000011110000111100001111111,10101010101,0
opt_s50_t100.log,micro,50,100,True,111100001111000011110000111100001111000011111111111111,1010101010111,2
opt_s10_t200_d.log,micro,10,200,False,11110000111100001111000011110000111100001111,10101010101,0
opt_s10_t10_d.log,micro,10,10,False,111100001111000011110000111100001111000011111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,1010101010111111111111111111111111111111111111111111111111,47
opt_s30_t100.log,micro,30,100,True,111100001111000011110000111100001111000011111111111111,1010101010111,2
opt_s50_t150_d.log,micro,50,150,False,11110000111100001111000011110000111100001111111,10101010101,0
opt_s30_t50_d.log,micro,30,50,False,11110000111100001111000011110000111100001111111111111111111111111111111111,101010101011111111,7
opt_s50_t50.log,one,50,50,True,,,11
opt_s50_t100_d.log,one,50,100,False,111100001111000011110000111100001111000011111111111111,1010101010111,2
opt_s10_t200.log,one,10,200,True,11110000111100001111000011110000111100001111,10101010101,0
opt_s50_t50_d.log,one,50,50,False,11110001111100011111000111110001111100011111111111111111111111111111111111,101010101011111111,7
opt_s30_t150.log,one,30,150,True,,,11
opt_s50_t200_d.log,one,50,200,False,11110000111100001111000011110000111100001111,10101010101,0
opt_s30_t100_d.log,one,30,100,False,111100001111000011110000111100001111000011111111111111,1010101010111,2
opt_s10_t100.log,one,10,100,True,,,11
opt_s50_t150.log,one,50,150,True,,,11
opt_s10_t150_d.log,one,10,150,False,11110000111100001111000011110000111100001111111,10101010101,0
opt_s30_t50.log,one,30,50,True,,,11
opt_s50_t200.log,one,50,200,True,,,11
opt_s10_t100_d.log,one,10,100,False,111100001111000011110000111100001111000011111111111111,1010101010111,2
opt_s30_t200.log,one,30,200,True,,,11
opt_s30_t150_d.log,one,30,150,False,11110000111100001111000011110000111100001111111,10101010101,0
opt_s10_t50_d.log,one,10,50,False,1110000111110001111000011110000111100001111111111111111111111111111111111,101010101011111111,7
opt_s10_t150.log,one,10,150,True,11110000111100001111000011110000111100001111111,10101010101,0
opt_s50_t100.log,one,50,100,True,,,11
opt_s10_t200_d.log,one,10,200,False,11110000111100001111000011110000111100001111,10101010101,0
opt_s10_t50.log,one,10,50,True,,,11
opt_s50_t150_d.log,one,50,150,False,11110000111100001111000011110000111100001111111,10101010101,0
opt_s30_t50_d.log,one,30,50,False,11110000111100011111000111110001111100011111111111111111111111111111111111,101010101011111111,7
